Delivery person ID,Age group(Delivery person),Delivery person rating,Rseturant latitude,Resturant longitude,Delivery location latitude,Delivery location longitude,Type of order,Type of vechicle,Temperature,Humidity,Precipitation,Weather description,Traffic level,Distance(km),Target(mins)
INDORES13DEL02,31-40,4.9,22.745049,75.892471,22.765049,75.912471,Snack ,motorcycle ,17.11,77,0,haze,Low,37.17,21.66666667
BANGRES18DEL02,31-40,4.5,12.913041,77.683237,13.043041,77.813237,Snack ,scooter ,19.5,93,0,mist,Very High,3.34,85.26666667
BANGRES19DEL01,21-30,4.4,12.914264,77.6784,12.924264,77.6884,Drinks ,motorcycle ,20.45,91,0,mist,Low,10.05,28.58333333
COIMBRES13DEL02,31-40,4.7,11.003669,76.976494,11.053669,77.026494,Buffet ,motorcycle ,23.86,78,0,mist,Moderate,9.89,35.18333333
CHENRES12DEL01,31-40,4.6,12.972793,80.249982,13.012793,80.289982,Snack ,scooter ,26.55,87,0,mist,High,11.3,43.45
HYDRES09DEL03,21-30,4.8,17.431668,78.408321,17.461668,78.438321,Buffet ,motorcycle ,21.43,65,0,broken clouds,Moderate,19.11,30.6
RANCHIRES15DEL01,31-40,4.7,23.369746,85.33982,23.479746,85.44982,Meal ,scooter ,17.51,69,0,clear sky,High,28.41,38.16666667
MYSRES15DEL02,31-40,4.6,12.352058,76.60665,12.482058,76.73665,Meal ,motorcycle ,18.03,82,0,scattered clouds,Very High,31.62,50
HYDRES05DEL02,21-30,4.8,17.433809,78.386744,17.563809,78.516744,Buffet ,motorcycle ,21.08,65,0,broken clouds,Very High,11.59,81.78333333
DEHRES17DEL01,31-40,4.2,30.327968,78.046106,30.397968,78.116106,Snack ,motorcycle ,12.44,77,0,clear sky,High,7.57,36.36666667
KOCRES16DEL01,21-30,4.7,10.003064,76.307589,10.043064,76.347589,Meal ,motorcycle ,23.95,88,0,mist,Moderate,21.93,25.1
PUNERES13DEL03,21-30,4.7,18.56245,73.916619,18.65245,74.006619,Drinks ,scooter ,19.37,65,0,clear sky,High,3.98,49.45
LUDHRES15DEL02,31-40,4.3,30.899584,75.809346,30.919584,75.829346,Buffet ,motorcycle ,19.14,55,0,clear sky,Low,24.5,17.5
KNPRES14DEL02,21-30,4.7,26.463504,80.372929,26.593504,80.502929,Snack ,scooter ,19.99,56,0,clear sky,Very High,22,56.16666667
MUMRES15DEL03,21-30,4.5,19.176269,72.836721,19.266269,72.926721,Buffet ,electric_scooter ,24.74,47,0,clear sky,Very High,10.51,54.31666667
MYSRES01DEL01,31-40,4,12.311072,76.654878,12.351072,76.694878,Meal ,scooter ,17.97,77,0,scattered clouds,Moderate,23.61,29.45
PUNERES20DEL01,31-40,4.2,18.592718,73.773572,18.702718,73.883572,Snack ,motorcycle ,18.61,65,0,clear sky,Very High,18.26,55.85
HYDRES14DEL01,31-40,4.9,17.426228,78.407495,17.496228,78.477495,Snack ,motorcycle ,21.29,64,0,overcast clouds,High,8.07,52.48333333
KOLRES15DEL03,21-30,4.7,22.552672,88.352885,22.582672,88.382885,Meal ,motorcycle ,22.99,83,0,haze,Moderate,23.53,31.73333333
PUNERES19DEL02,21-30,4.1,18.563934,73.915367,18.643935,73.995367,Snack ,motorcycle ,19.17,65,0,clear sky,Very High,22.26,50.45
RANCHIRES06DEL02,31-40,4.7,23.357804,85.325146,23.487804,85.455146,Meal ,electric_scooter ,17.85,67,0,clear sky,Very High,2.07,49.26666667
COIMBRES13DEL01,31-40,5,11.003669,76.976494,11.013669,76.986494,Snack ,motorcycle ,23.93,78,0,mist,Very Low,27.52,13.26666667
CHENRES19DEL02,31-40,4.3,12.986047,80.218114,13.116047,80.348114,Meal ,scooter ,26.45,87,0,scattered clouds,Very High,8.97,101
MUMRES02DEL01,21-30,4,19.221315,72.862381,19.261315,72.902381,Buffet ,motorcycle ,24.51,47,0,clear sky,High,24.31,34.61666667
CHENRES01DEL01,21-30,4.5,13.005801,80.250744,13.115801,80.360744,Meal ,electric_scooter ,26.46,87,0,scattered clouds,Very High,6.05,79.66666667
JAPRES16DEL03,21-30,5,26.849596,75.800512,26.879596,75.830512,Snack ,motorcycle ,19.44,64,0,haze,Low,16.08,19.65
SURRES15DEL03,31-40,4.3,21.160522,72.771477,21.250522,72.861477,Drinks ,scooter ,22.92,43,0,clear sky,High,17.37,44.16666667
BANGRES09DEL03,31-40,4,12.934179,77.615797,13.024179,77.705797,Buffet ,motorcycle ,19.89,93,0,mist,Very High,19.87,57.93333333
PUNERES04DEL01,21-30,4.8,18.51421,73.838429,18.62421,73.948429,Buffet ,electric_scooter ,19.21,65,0,clear sky,Very High,6.61,54.76666667
COIMBRES02DEL03,31-40,4.8,11.022477,76.995667,11.052477,77.025667,Drinks ,motorcycle ,23.86,78,0,mist,Moderate,10.6,34.21666667
SURRES16DEL02,31-40,4.1,21.160437,72.774209,21.210437,72.824209,Drinks ,motorcycle ,23.26,43,0,clear sky,Moderate,12.29,32.08333333
GOARES15DEL02,21-30,4.3,15.51315,73.78346,15.56315,73.83346,Buffet ,motorcycle ,24.66,59,0,scattered clouds,Moderate,9.26,34.78333333
GOARES07DEL01,31-40,4.9,15.561295,73.749478,15.601295,73.789478,Drinks ,scooter ,24.8,58,0,scattered clouds,Moderate,0,34.91666667
PUNERES19DEL02,31-40,4.6,18.563934,73.915367,18.693935,74.045367,Drinks ,scooter ,19.15,64,0,clear sky,High,17.24,54.38333333
PUNERES02DEL01,31-40,4.9,18.55144,73.804855,18.62144,73.874855,Snack ,motorcycle ,18.97,65,0,clear sky,High,8.31,47.46666667
